total_pegs,total_empty,total_holes,num_legal_moves,peg_ratio,mobile_pegs,immobile_pegs,jumpable_pegs,mobility_ratio,num_clusters,largest_cluster,edge_pegs,interior_pegs,avg_adjacent_pegs,avg_adjacent_empty,max_adjacent_empty,center_of_mass_r,center_of_mass_c,spread,min_pegs_reachable,max_pegs_reachable,best_move_r1,best_move_c1,best_move_r2,best_move_c2,worst_move_r1,worst_move_c1,worst_move_r2,worst_move_c2,board_rows,board_cols,board_state
10,3,13,4,0.769231,4,6,4,0.4,1,10,7,3,2.2,0.7,1,1.6,1.5,0.491024,1,7,2,0,0,0,1,1,3,1,4,4,0100000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000001000000000000000000000000000000010000000000000002000000000000000200000000000000
11,2,13,4,0.846154,4,7,3,0.363636,1,11,10,1,2.0,0.636364,2,1.0,1.727273,0.55998,2,6,0,2,2,2,1,3,1,1,3,5,020000000000000002000000000000000200000000000000020000000000000000000000000000000200000000000000010000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000
10,3,13,5,0.769231,5,5,3,0.5,2,6,7,3,1.8,0.7,2,1.9,1.5,0.482319,2,8,1,0,3,0,1,1,3,1,5,4,00000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000100000000000000020000000000000001000000000000000100000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000000000000000000
13,1,14,1,0.928571,1,12,1,0.076923,2,12,10,3,2.153846,0.307692,1,1.923077,1.769231,0.59451,2,10,2,1,2,3,2,1,2,3,5,5,0000000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000
12,2,14,1,0.857143,1,11,1,0.083333,1,12,9,3,2.333333,0.5,2,1.416667,1.833333,0.436756,2,10,0,2,2,2,0,2,2,2,4,4,0000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000001000000000000000200000000000000010000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000
13,1,14,2,0.928571,2,11,2,0.153846,1,13,10,3,2.307692,0.307692,1,2.0,1.307692,0.55769,2,7,1,3,1,1,1,3,1,1,5,4,00000000000000000200000000000000020000000000000000000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000000000000000000
13,1,14,1,0.928571,1,12,1,0.076923,1,13,9,4,2.461538,0.230769,1,1.461538,2.384615,0.545636,2,8,2,3,0,3,2,3,0,3,4,5,00000000000000000000000000000000020000000000000001000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000000000000000000
12,3,15,3,0.8,3,9,2,0.25,2,11,8,4,2.166667,0.583333,2,2.666667,1.583333,0.636913,1,7,2,2,2,0,2,2,2,0,6,4,000000000000000002000000000000000000000000000000000000000000000000000000000000000100000000000000020000000000000000000000000000000100000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000001000000000000000000000000000000
14,1,15,1,0.933333,1,13,1,0.071429,1,14,11,3,2.571429,0.142857,1,2.0,1.357143,0.660576,2,8,2,1,4,1,2,1,4,1,5,5,0000000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000100000000000000000000000000000000000000000000000000000000000000
13,2,15,3,0.866667,3,10,3,0.230769,1,13,10,3,2.461538,0.384615,1,1.923077,2.230769,0.626793,1,9,2,3,2,1,1,2,1,4,4,5,00000000000000000000000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000001000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000
12,3,15,4,0.8,4,8,4,0.333333,1,12,7,5,2.5,0.333333,1,2.333333,1.833333,0.528418,2,10,1,2,1,0,1,2,1,0,5,5,0000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000100000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000
14,1,15,2,0.933333,2,12,2,0.142857,1,14,11,3,2.428571,0.285714,1,1.714286,1.285714,0.5359,1,8,1,0,1,2,1,0,1,2,5,4,02000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000001000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000
